dummy,event,date,eventnumber,position,time,agegrade,PB  ,mins,secs,runnumber
,Hilly Fields,21/04/2018,300,249,30:38:00,50.98%, ,30,38,82
,South Manchester,05/05/2018,420,347,29:04:00,53.73%, ,29,4,83
,Catford,19/05/2018,4,135,29:26:00,53.06%, ,29,26,84
,Catford,26/05/2018,5,94,29:54:00,52.23%, ,29,54,85
,Hilly Fields,02/06/2018,306,259,34:47:00,44.90%, ,34,47,86
,Birkenhead,09/06/2018,148,278,29:10:00,53.54%, ,29,10,87
,Hilly Fields,16/06/2018,308,246,30:15:00,51.63%, ,30,15,88
,Barnsley,23/06/2018,388,122,30:02:00,52.00%, ,30,2,89
,Hilly Fields,07/07/2018,310,255,35:42:00,43.74%, ,35,42,90
,Hilly Fields,21/07/2018,312,233,50:49:00,30.73%, ,50,49,91
,Tøyen,28/07/2018,38,43,32:37:00,47.88%, ,32,37,92
,Catford,11/08/2018,14,144,44:21:00,35.21%, ,44,21,93
,Hilly Fields,08/09/2018,319,279,35:57:00,43.44%, ,35,57,94
,Catford,15/09/2018,19,111,29:14:00,53.42%,PB  ,29,14,95
,Macclesfield,29/09/2018,23,153,30:49:00,50.68%, ,30,49,96
,Hilly Fields,13/10/2018,324,224,36:57:00,42.26%, ,36,57,97
,Hilly Fields,20/10/2018,325,178,29:59:00,52.08%, ,29,59,98
,Catford,27/10/2018,25,120,28:35:00,54.64%,PB  ,28,35,99
,Hilly Fields,17/11/2018,329,185,29:36:00,52.76%, ,29,36,100
,Victoria Dock,24/11/2018,31,79,27:28:00,56.86%, ,27,28,101
,South Norwood,08/12/2018,74,93,41:31:00,37.62%, ,41,31,102
,Hilly Fields,15/12/2018,333,208,30:45:00,50.79%, ,30,45,103
,Hilly Fields,22/12/2018,334,217,36:42:00,42.55%, ,36,42,104
,Catford,25/12/2018,34,102,34:25:00,45.38%, ,34,25,105
,Hilly Fields,29/12/2018,336,140,29:43:00,52.55%, ,29,43,106
,Hilly Fields,01/01/2019,337,226,35:33:00,43.93%, ,35,33,107
,Beckenham Place,01/01/2019,112,221,30:38:00,50.98%, ,30,38,108
,Crystal Palace,05/01/2019,420,277,29:44:00,52.52%, ,29,44,109
